counter,conv0,it0,conv1,it1,relation,isEffective,density_x,rows,cols,nonzeros,posdef,psym,nsym,density_y,avg_nnz,max_nnz,std_nnz,avg_row_block_count,std_row_block_count,min_row_block_count,max_row_block_count,avg_row_block_size,std_row_block_size,min_row_block_size,max_row_block_size,block_count
9664,1,3,1,52,0.0576923076923077,0,0.0005638709334529,220,220,247,False,0.0,0.0,0.0051033057851239665,1.1227272727272728,3,0.341696061357323,1.1227272727272728,0.341696061357323,1,3,1.0,0.0,1,1,247
8640,0,1000,1,344,2.90697674418605,1,0.0019997151739062,985,985,2919,False,0.001034126163391934,0.0,0.0030085804839083716,2.9634517766497463,9,1.3543253753414644,2.950253807106599,1.3407182091299472,1,9,1.0044735030970406,0.06673448034623013,1,2,2906
3792,0,850,1,347,2.44956772334294,1,0.002417688887467,831,831,2499,False,0.0,0.0,0.003618796891223223,3.0072202166064983,9,1.4294296653250012,2.9987966305655838,1.4264979023819415,1,9,1.002808988764045,0.05292540359948531,1,2,2492
2529,1,8,1,53,0.150943396226415,0,0.0004131890217218,986,986,1386,False,0.0,0.0,0.0014256384515056635,1.4056795131845843,4,0.6383041956407481,1.4046653144016228,0.6381535067109936,1,4,1.0007220216606498,0.02686075846604806,1,2,1385
9714,1,5,1,52,0.0961538461538462,0,0.0011139981448494,220,220,274,False,0.0,0.0,0.005661157024793389,1.2454545454545454,3,0.48964483670891745,1.240909090909091,0.4778351664339825,1,3,1.0036630036630036,0.060411804038354,1,2,273
1880,0,400,1,140,2.85714285714286,1,0.0057013184665244,394,394,1276,False,0.006802721088435374,0.0,0.008219742843154939,3.238578680203046,9,1.5260625856704009,3.2081218274111674,1.517189167483625,1,9,1.009493670886076,0.0969718572534466,1,2,1264
8451,0,950,1,596,1.59395973154362,1,0.0022112131124973,921,921,2796,False,0.0010666666666666667,0.0,0.0032962330281134725,3.035830618892508,8,1.3963725261893258,3.029315960912052,1.394190080872019,1,8,1.0021505376344086,0.04632399834094198,1,2,2790
5585,1,57,1,67,0.850746268656716,0,0.0032941073483395,409,409,958,False,0.01092896174863388,0.0,0.005726890680950018,2.3422982885085575,6,1.1618194983390437,2.3300733496332517,1.1558716879148,1,6,1.0052465897166842,0.07224308280402311,1,2,953
3766,0,300,1,94,3.19148936170213,1,0.0088485483745565,266,266,886,False,0.0064516129032258064,0.0,0.01252190626943298,3.330827067669173,8,1.4828432580651085,3.308270676691729,1.4775536127714037,1,8,1.0068181818181818,0.08229030450105308,1,2,880
9492,1,250,1,80,3.125,1,0.0036840187756266,416,416,1050,False,0.0031545741324921135,0.0,0.006067400147928994,2.5240384615384617,8,1.220576407993977,2.5024038461538463,1.2089386597599276,1,8,1.0086455331412103,0.0925785498801672,1,2,1041
8150,1,29,1,60,0.483333333333333,0,0.0019997151739062,571,571,1223,False,0.003067484662576687,0.0,0.0037510619830021376,2.141856392294221,6,1.0280732256557785,2.12784588441331,1.0196555601585378,1,6,1.0065843621399178,0.08087650038872919,1,2,1215
1581,0,400,1,89,4.49438202247191,1,0.0055802281963418,372,372,1139,False,0.002607561929595828,0.0,0.008230720314487223,3.0618279569892475,7,1.4879244736270747,3.0403225806451615,1.472320932473553,1,7,1.0070733863837311,0.0838054508298694,1,2,1131
